id,artiste,organisme,adresse,annee,arrondissement,programme_entente,latitude,longitude,image
76,"Zilon","MURAL","coin des rues Marie-Anne et Saint-Dominique","2014","Le Plateau-Mont-Royal","Programme graffitis et murales",45.519661,-73.583606,"https://depot.ville.montreal.qc.ca/murales/_0148864p.jpg"
77,"Dan Buller et Five Eight","MU","coin des rues Georges-Vanier et Lionel-Groulx","2014","Le Sud-Ouest","Programme graffitis et murales",45.486637,-73.573442,"https://depot.ville.montreal.qc.ca/murales/_0148990p.jpg"
78,"Artducommun","Maison des Jeunes l'Escalier de Lachine","735, rue Notre-Dame","2014","Lachine","Programme graffitis et murales",45.434804,-73.670306,"https://depot.ville.montreal.qc.ca/murales/_0148994p.jpg"
79,"Artducommun","Maison des Jeunes l'Escalier de Lachine","800, rue Notre-Dame","2014","Lachine","Programme graffitis et murales",45.435045,-73.670849,"https://depot.ville.montreal.qc.ca/murales/_0148999p.jpg"
80,"Artducommun","Maison des Jeunes l'Escalier de Lachine","1080, rue Notre-Dame","2014","Lachine","Programme graffitis et murales",45.435057,-73.673237,"https://depot.ville.montreal.qc.ca/murales/_0149002p.jpg"
81,"Artducommun","Maison des Jeunes l'Escalier de Lachine","1349, rue Notre-Dame","2014","Lachine","Programme graffitis et murales",45.434825,-73.67598,"https://depot.ville.montreal.qc.ca/murales/_0149018p.jpg"
82,"Artducommun","Artducommun","5098, rue Saint-Hubert","2014","Le Plateau-Mont-Royal","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.528972,-73.588541,"https://depot.ville.montreal.qc.ca/murales/2015_SB.jpg"
83,"A'Shop","Y’a QuelQu’un l’aut’bord du mur (YQQ)","8105, rue Hochelaga","2014","Mercier–Hochelaga-Maisonneuve","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.595266,-73.523925,"https://depot.ville.montreal.qc.ca/murales/2014_ASHOP.jpg"
84,"Omen","MU","1535, rue Beaudet","2014","Saint-Laurent","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.510387,-73.677283,"https://depot.ville.montreal.qc.ca/murales/2014_OMEN.jpg"
85,"Annie Hamel","MU","1301, boulevard De Maisonneuve E.","2014","Ville-Marie","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.520031,-73.556923,"https://depot.ville.montreal.qc.ca/murales/2014-AH.jpg"
86,"Rafael Sotolichio","MU","Parc Bélanger-Chateaubriand","2014","Rosemont–La Petite-Patrie","Projet pilote d'art mural 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.538189,-73.610286,"https://depot.ville.montreal.qc.ca/murales/2014-RS.jpg"
