id,artiste,organisme,adresse,annee,arrondissement,programme_entente,latitude,longitude,image
213,"Romain Boz","L'Itinéraire","1900, rue Sainte-Catherine Est (coin Dorion)","2019","Ville-Marie","Programme d'art mural (volet 2)",45.523717,-73.551249,"https://depot.ville.montreal.qc.ca/murales/213-MU-RomainBoz-VMA.jpg"
214,"Melissa Del Pinto","MU","3501, rue Jeanne-Mance (coin Milton)","2019","Le Plateau-Mont-Royal","Programme d'art mural (volet 2)",45.510645,-73.573013,"https://depot.ville.montreal.qc.ca/murales/214-MU-MelissaDelPinto-PMR.jpg"
215,"Doras (Marc O'Brien)","MU","740, avenue Atwater","2019","Le Sud-Ouest","Programme d'art mural (volet 2)",45.484673,-73.580204,"https://depot.ville.montreal.qc.ca/murales/215-MU-Doras-SO.jpg"
216,"Alex Snipes","AGC Art Public (Artgang)","10155, Boul.Saint-Michel","2019","Montréal-Nord","Programme d'art mural (volet 2)",45.579485,-73.64242,"https://depot.ville.montreal.qc.ca/murales/216-AGC-Alex Snipes-MN.jpg"
217,"Olivier Gaudette","AGC Art Public (Artgang)","4660 rue de Charleroi","2019","Montréal-Nord","Programme d'art mural (volet 2)",45.595539,-73.63259,"https://depot.ville.montreal.qc.ca/murales/217-AGC-OlivierGaudette-MN.jpg"
218,"Astro","AGC Art Public (Artgang)","5250, rue de Charleroi","2019","Montréal-Nord","Programme d'art mural (volet 2)",45.600704,-73.623567,"https://depot.ville.montreal.qc.ca/murales/218-AGC-Astro-MN.jpg"
219,"Cécile Gariépy","MU","5820, boulevard Décarie","2019","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.488057,-73.623568,"https://depot.ville.montreal.qc.ca/murales/219-MU_Cecile_Gariepy_2019.jpg"
220,"Stare (Simon Bachand)","AGC Art Public (Artgang)","2524 et 2531, rue Ontario est","2019","Ville-Marie","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.532516,-73.552933,"https://depot.ville.montreal.qc.ca/murales/220-AGC_Stare_2019.jpg"
221,"Gleo","MURAL","3614, rue Saint-urbain","2019","Le Plateau-Mont-Royal","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.512746,-73.574033,"https://depot.ville.montreal.qc.ca/murales/221-MURAL_Gleo_2019.jpg"
222,"Alexis Vaillancourt","MU","6470, Pierre-De Coubertin","2020","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.578632,-73.536028,"https://depot.ville.montreal.qc.ca/murales/2020-v2-MU-AlexisVaillancourt.JPG"
223,"Borrris","MU","1759 rue Beaudry","2020","Ville-Marie","Programme d'art mural (volet 2)",45.52062,-73.559845,"https://depot.ville.montreal.qc.ca/murales/2020-v2-MU-Borrris.JPG"
224,"Bryan Beyung","MU","7635, rue Centrale","2020","LaSalle","Programme d'art mural (volet 2)",45.431542,-73.59798,"https://depot.ville.montreal.qc.ca/murales/2020-v2-MU-BryanBeyung.JPG"
225,"Sophie Wilkins","AGC Art Public (Artgang)","11813 Boul. Sainte-Gertrude","2020","Montréal-Nord","Programme d'art mural (volet 2)",45.605179,-73.634063,"https://depot.ville.montreal.qc.ca/murales/2020-v2-AGC-SophieWilkins.JPG"
226,"Monk.E","Prévention du crime Ahuntsic-Cartierville","500 Boulevard Henri-Bourassa Ouest","2020","Ahuntsic-Cartierville","Programme d'art mural (volet 2)",45.54382,-73.67471,"https://depot.ville.montreal.qc.ca/murales/2020-v2-PreventionAC-MonkE-500Henri-Bourassa.JPG"
227,"Julian Palma - Sergio Gutiérrez","Artistes en arts visuels du Nord de Montréal (AAVNM)","12165 Boulevard Rolland","2020","Montréal-Nord","Programme d'art mural (volet 2)",45.617426,-73.621328,"https://depot.ville.montreal.qc.ca/murales/2020-v2-AAVMN-JulianPalma-SergioGutierrez.JPG"
228,"Monk.E","Prévention du crime Ahuntsic-Cartierville","147 Boulevard Henri-Bourassa Est","2020","Ahuntsic-Cartierville","Programme d'art mural (volet 2)",45.552042,-73.670116,"https://depot.ville.montreal.qc.ca/murales/2020-v2-PreventionAC-MonkE-Henri-Bourassa.JPG"
229,"Zek One","Prévention Côte-des-Neiges-Notre-Dame-de-Grâce","6262 avenue Fielding","2020","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme d'art mural (volet 2)",45.472379,-73.639493,"https://depot.ville.montreal.qc.ca/murales/2020-v2-PreventionCDN-ZekOne.jpg"
230,"Borrris","Y’a QuelQu’un l’aut’bord du mur (YQQ)","5955, rue de Marseille","2020","Mercier–Hochelaga-Maisonneuve","Programme d'art mural (volet 2)",45.574706,-73.542258,"https://depot.ville.montreal.qc.ca/murales/2020-v2-YQQ-Borrris.JPG"
231,"Bryan Beyung","KOLAB","1745 rue Tassé","2020","Saint-Laurent","Programme d'art mural (volet 2)",45.51488,-73.692207,"https://depot.ville.montreal.qc.ca/murales/2020-v2-KOLAB-BryanBeyung.jpg"
232,"Maliciouz","Corporation de développement communautaire de Côte-des-Neiges","6262 Chemin Hudson","2020","Côte-des-Neiges–Notre-Dame-de-Grâce","Programme d'art mural (volet 2)",45.505707,-73.629566,"https://depot.ville.montreal.qc.ca/murales/2020-v2-CorporationCDN-Maliciouz.jpg"
233,"Ruben Carrasco","IPAF Festival","2633 rue Ontario Est","2020","Ville-Marie","Programme d'art mural (volet 2)",45.534219,-73.553258,"https://depot.ville.montreal.qc.ca/murales/2020-v2-IPAF-RubenCarrasco.jpg"
234,"Jean-Sébastien Denis en collaboration avec MU","Les Amis de la place Marcelle-Ferron","999 avenue McEachran","2020","Outremont","Programme d'art mural (volet 1) 

Financé dans le cadre de l’Entente sur le développement culturel de Montréal conclue entre la Ville de Montréal et le gouvernement du Québec.",45.520329,-73.619466,"https://depot.ville.montreal.qc.ca/murales/2020-v1-APMF-MU-JSDenis.jpg"
