Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
0123456789;2019-06-15 07:00:00;0,51;R;17;R
0123456789;2019-06-15 06:00:00;0,60;R;15;R
0123456789;2019-06-15 05:00:00;0,35;R;14;R
0123456789;2019-06-15 04:00:00;0,74;R;15;R
0123456789;2019-06-15 03:00:00;0,33;R;15;R
0123456789;2019-06-15 02:00:00;0,36;R;15;R
0123456789;2019-06-15 01:00:00;0,34;R;14;R
0123456789;2019-06-15 00:00:00;0,37;R;14;R
0123456789;2019-06-14 23:00:00;0,36;R;14;R
0123456789;2019-06-14 22:00:00;3,89;R;14;R
0123456789;2019-06-14 21:00:00;0,74;R;14;R
0123456789;2019-06-14 20:00:00;1,66;R;15;R
0123456789;2019-06-14 19:00:00;1,09;R;16;R
0123456789;2019-06-14 18:00:00;0,63;R;17;R
0123456789;2019-06-14 17:00:00;1,31;R;17;R
0123456789;2019-06-14 16:00:00;1,05;R;16;R
0123456789;2019-06-14 15:00:00;0,64;R;15;R
0123456789;2019-06-14 14:00:00;0,37;R;15;R
0123456789;2019-06-14 13:00:00;0,61;R;15;R
0123456789;2019-06-14 12:00:00;0,71;R;16;R
0123456789;2019-06-14 11:00:00;2,51;R;15;R
0123456789;2019-06-14 10:00:00;0,37;R;15;R
0123456789;2019-06-14 09:00:00;0,90;R;17;R
0123456789;2019-06-14 08:00:00;0,49;R;16;R
0123456789;2019-06-14 07:00:00;0,35;R;15;R
0123456789;2019-06-14 06:00:00;0,35;R;14;R
0123456789;2019-06-14 05:00:00;0,70;R;14;R
0123456789;2019-06-14 04:00:00;0,36;R;13;R
0123456789;2019-06-14 03:00:00;0,35;R;14;R
0123456789;2019-06-14 02:00:00;0,34;R;14;R
0123456789;2019-06-14 01:00:00;0,37;R;14;R
0123456789;2019-06-14 00:00:00;0,33;R;14;R
0123456789;2019-06-13 23:00:00;0,37;R;13;R
0123456789;2019-06-13 22:00:00;0,74;R;14;R
0123456789;2019-06-13 21:00:00;3,66;R;13;R
0123456789;2019-06-13 20:00:00;0,66;R;14;R
0123456789;2019-06-13 19:00:00;2,09;R;13;R
0123456789;2019-06-13 18:00:00;0,36;R;16;R
0123456789;2019-06-13 17:00:00;0,35;R;16;R
0123456789;2019-06-13 16:00:00;0,37;R;17;R
0123456789;2019-06-13 15:00:00;0,77;R;16;R
